starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 09 15:45:14 2025	1736433914	0	482	482	481
Thu Jan 09 15:45:14 2025	1736433914	0	482	482	480
Thu Jan 09 15:45:05 2025	1736433905	0	482	483	475
Thu Jan 09 15:45:05 2025	1736433905	0	482	483	481
Thu Jan 09 15:45:05 2025	1736433905	0	484	484	478
Thu Jan 09 15:45:05 2025	1736433905	0	484	484	484
Thu Jan 09 15:45:05 2025	1736433905	0	486	486	67
Thu Jan 09 15:45:04 2025	1736433904	0	486	486	418
Thu Jan 09 15:45:05 2025	1736433905	0	487	487	479
Thu Jan 09 15:45:06 2025	1736433906	0	487	487	182
Thu Jan 09 15:45:11 2025	1736433911	0	489	489	462
Thu Jan 09 15:45:11 2025	1736433911	0	490	490	489
Thu Jan 09 15:45:14 2025	1736433914	0	493	494	492
Thu Jan 09 15:45:07 2025	1736433907	0	494	494	409
Thu Jan 09 15:45:05 2025	1736433905	0	494	494	475
Thu Jan 09 15:45:06 2025	1736433906	0	494	494	434
Thu Jan 09 15:45:06 2025	1736433906	0	494	494	438
Thu Jan 09 15:45:14 2025	1736433914	0	495	495	494
Thu Jan 09 15:45:13 2025	1736433913	0	495	495	68
Thu Jan 09 15:45:05 2025	1736433905	0	496	496	477
Thu Jan 09 15:45:06 2025	1736433906	0	496	496	482
Thu Jan 09 15:45:13 2025	1736433913	0	496	496	135
Thu Jan 09 15:45:04 2025	1736433904	0	496	497	494
Thu Jan 09 15:45:06 2025	1736433906	0	497	497	458
Thu Jan 09 15:45:05 2025	1736433905	0	497	498	494
Thu Jan 09 15:45:11 2025	1736433911	0	498	498	497
Thu Jan 09 15:45:09 2025	1736433909	0	499	500	445
Thu Jan 09 15:45:07 2025	1736433907	0	500	500	419
Thu Jan 09 15:45:06 2025	1736433906	0	500	500	199
Thu Jan 09 15:45:09 2025	1736433909	0	500	500	483
Thu Jan 09 15:45:05 2025	1736433905	0	507	508	477
Thu Jan 09 15:45:13 2025	1736433913	0	509	509	497
Thu Jan 09 15:45:11 2025	1736433911	0	509	509	471
Thu Jan 09 15:45:04 2025	1736433904	0	509	509	465
Thu Jan 09 15:45:13 2025	1736433913	0	510	510	227
Thu Jan 09 15:45:05 2025	1736433905	0	513	513	424
Thu Jan 09 15:45:09 2025	1736433909	0	515	515	471
Thu Jan 09 15:45:05 2025	1736433905	0	515	515	491
Thu Jan 09 15:45:07 2025	1736433907	0	516	516	513
Thu Jan 09 15:45:13 2025	1736433913	0	519	519	486
Thu Jan 09 15:45:08 2025	1736433908	0	519	519	457
Thu Jan 09 15:45:05 2025	1736433905	0	521	521	119
Thu Jan 09 15:45:14 2025	1736433914	0	522	522	521
Thu Jan 09 15:45:08 2025	1736433908	0	523	523	447
Thu Jan 09 15:45:13 2025	1736433913	0	524	524	519
Thu Jan 09 15:45:13 2025	1736433913	0	524	524	487
Thu Jan 09 15:45:09 2025	1736433909	1	524	525	503
Thu Jan 09 15:45:13 2025	1736433913	0	526	526	453
Thu Jan 09 15:45:14 2025	1736433914	0	527	527	67
Thu Jan 09 15:45:05 2025	1736433905	0	528	528	526
Thu Jan 09 15:45:05 2025	1736433905	0	529	529	525
Thu Jan 09 15:45:05 2025	1736433905	0	529	529	528
Thu Jan 09 15:45:05 2025	1736433905	0	530	530	132
Thu Jan 09 15:45:13 2025	1736433913	0	531	532	529
Thu Jan 09 15:45:13 2025	1736433913	0	532	532	519
Thu Jan 09 15:45:10 2025	1736433910	0	532	532	531
Thu Jan 09 15:45:14 2025	1736433914	0	532	532	148
Thu Jan 09 15:45:05 2025	1736433905	0	532	532	158
